p_data,p_cnot,p_measurement,p_recovery,effective_qec1_error,effective_qec3_error,estimated_qec1_accuracy,estimated_qec3_accuracy,qec3_minus_qec1_accuracy,qec1_minus_qec3_logical_error
0.02,0.001,0.005,0.005,0.0027280000504106283,0.002311999909579754,0.9089287997907959,0.9106552003752441,0.0017264005844481733,0.00041600014083087444
0.02,0.002,0.005,0.005,0.0036979999858886003,0.0036460000555962324,0.9037167000825517,0.9040208996747621,0.00030419959221039683,5.1999930292367935e-05
0.02,0.005,0.005,0.005,0.007222000043839216,0.007710000034421682,0.82739239821136,0.8074819985955953,-0.019910399615764685,-0.0004879999905824661
0.02,0.01,0.005,0.005,0.013147999532520771,0.01612200029194355,0.5748832171097398,0.4715325907453895,-0.10335062636435027,-0.002974000759422779
0.02,0.02,0.005,0.005,0.025474000722169876,0.03619999811053276,0.29994623260498043,0.23366800351440908,-0.06627822909057135,-0.010725997388362885
0.02,0.0,0.01,0.005,0.0018319999799132347,0.0012540000025182962,0.9121432000230998,0.912807899997104,0.0006646999740042014,0.0005779999773949385
0.02,0.001,0.01,0.005,0.003025999991223216,0.0025599999353289604,0.9076479000513441,0.9096260002683848,0.0019781002170407014,0.00046600005589425564
0.02,0.002,0.01,0.005,0.004157999996095896,0.0036100000143051147,0.9001883000435308,0.9042314999163151,0.004043199872784342,0.000547999981790781
0.02,0.005,0.01,0.005,0.007526000030338764,0.00788000039756298,0.8149891987621785,0.8005459837794304,-0.014443214982748032,-0.00035400036722421646
0.02,0.01,0.01,0.005,0.01331000030040741,0.016133999451994896,0.5689539890050889,0.47115221737176183,-0.09780177163332704,-0.0028239991515874863
0.02,0.02,0.01,0.005,0.025483999401330948,0.036632001399993896,0.2998438461303711,0.23286447739601138,-0.0669793687343597,-0.011148001998662949
0.02,0.0,0.02,0.005,0.0026400000788271427,0.0013719999697059393,0.9092939996728673,0.9126722000348382,0.0033782003619708956,0.0012680001091212034
0.02,0.001,0.02,0.005,0.003851999994367361,0.0026599999982863665,0.9028158000329509,0.9092110000071115,0.006395199974160604,0.0011919999960809946
0.02,0.002,0.02,0.005,0.004925999790430069,0.003955999854952097,0.8916251023367048,0.9022074008485302,0.010582298511825461,0.000969999935477972
0.02,0.005,0.02,0.005,0.008464000187814236,0.008461999706923962,0.775280391754955,0.7753682128660381,8.782111108307511e-05,2.000480890274048e-06
0.02,0.01,0.02,0.005,0.014175999909639359,0.017103999853134155,0.5372584033071995,0.4404032046556473,-0.09685519865155223,-0.0029279999434947968
0.02,0.02,0.02,0.005,0.027049999684095383,0.03856600075960159,0.28380800323486327,0.22600527626276018,-0.05780272697210309,-0.01151600107550621
0.02,0.0,0.05,0.005,0.004769999999552965,0.0015780000248923898,0.8933645000049845,0.9124352999713737,0.019070799966389274,0.0031919999746605754
0.02,0.001,0.05,0.005,0.005996000021696091,0.0033259999472647905,0.8659497994586826,0.9058929003085009,0.039943100849818336,0.0026700000744313
0.02,0.002,0.05,0.005,0.007127999793738127,0.004954000003635883,0.8312276084154845,0.89131289995946,0.06008529154397546,0.0021739997901022434
0.02,0.005,0.05,0.005,0.011102000251412392,0.010226000100374222,0.6600281089529395,0.6985195555895567,0.03849144663661719,0.0008760001510381699
0.02,0.01,0.05,0.005,0.01695599965751171,0.019780000671744347,0.4450948108568788,0.3802435859739781,-0.06485122488290068,-0.0028240010142326355
0.02,0.02,0.05,0.005,0.029193999245762825,0.04245999827980995,0.2689343645706773,0.21122560540139676,-0.05770875916928056,-0.013265999034047127
0.05,0.0,0.0,0.005,0.0073460000567138195,0.007185999769717455,0.8223331976860762,0.8288612093955279,0.00652801170945172,0.0001600002869963646
0.05,0.001,0.0,0.005,0.008678000420331955,0.00850799959152937,0.7658857815474271,0.7733488179318606,0.0074630363844334635,0.0001700008288025856
0.05,0.002,0.0,0.005,0.009854000061750412,0.0098879998549819,0.7147717973262072,0.7132996062792838,-0.0014721910469234212,-3.3999793231487274e-05
0.05,0.005,0.0,0.005,0.013438000343739986,0.014336000196635723,0.5642691874191166,0.5314023928031326,-0.03286679461598396,-0.0008979998528957367
0.05,0.01,0.0,0.005,0.020163999870419502,0.02265400066971779,0.37290464216917757,0.33201359223127364,-0.040891049937903934,-0.0024900007992982864
0.05,0.02,0.0,0.005,0.033479999750852585,0.043540000915527344,0.2427704011261463,0.20858319778442383,-0.03418720334172248,-0.010060001164674759
0.05,0.0,0.005,0.005,0.00813400000333786,0.0073460000567138195,0.7897673998534679,0.8223331976860762,0.03256579783260827,0.0007879999466240406
0.05,0.001,0.005,0.005,0.009557999670505524,0.008390000090003014,0.7275886142671109,0.7785289960488677,0.05094038178175686,0.00116799958050251
0.05,0.002,0.005,0.005,0.010565999895334244,0.00977800041437149,0.6835799645990134,0.7180625820577144,0.03448261745870107,0.0007879994809627533
0.05,0.005,0.005,0.005,0.01413000002503395,0.01458400022238493,0.5389419990837574,0.5223255918607116,-0.016616407223045804,-0.00045400019735097885
0.05,0.01,0.005,0.005,0.020627999678254128,0.023207999765872955,0.3651372853860259,0.3255872027158737,-0.0395500826701522,-0.002580000087618828
0.05,0.02,0.005,0.005,0.034035999327898026,0.04361800104379654,0.24025728303790092,0.20839443747401237,-0.03186284556388855,-0.009582001715898514
0.05,0.0,0.01,0.005,0.008906000293791294,0.007133999839425087,0.7558765871025621,0.8309828065514565,0.0751062194488944,0.0017720004543662071
0.05,0.001,0.01,0.005,0.010242000222206116,0.00875800009816885,0.6978165102362633,0.7623737956903874,0.06455728545412409,0.0014840001240372658
0.05,0.002,0.01,0.005,0.011416000314056873,0.009908000007271767,0.646230946200341,0.7124335996851325,0.06620265348479148,0.0015080003067851067
0.05,0.005,0.01,0.005,0.015216000378131866,0.014511999674141407,0.5002527880132198,0.5249608119264245,0.024708023913204702,0.0007040007039904594
0.05,0.01,0.01,0.005,0.021762000396847725,0.02390200085937977,0.3461541133567691,0.31753679003119467,-0.02861732332557443,-0.0021400004625320435
0.05,0.02,0.01,0.005,0.035002000629901886,0.045207999646663666,0.2358962788283825,0.2050666399717331,-0.030829638856649383,-0.01020599901676178
0.05,0.0,0.02,0.005,0.010301999747753143,0.007422000169754028,0.6951801310837269,0.8192323930740356,0.12405226199030872,0.002879999577999115
0.05,0.001,0.02,0.005,0.011908000335097313,0.008870000019669533,0.6246124652758241,0.7574569991365074,0.1328445338606833,0.00303800031542778
0.05,0.002,0.02,0.005,0.01308399997651577,0.010325999930500984,0.5772256008595229,0.6941255630537868,0.1168999621942639,0.0027580000460147858
0.05,0.005,0.02,0.005,0.01682800054550171,0.01522000040858984,0.4491523827075959,0.5001259870477021,0.05097360434010617,0.001608000136911869
0.05,0.01,0.02,0.005,0.023401999846100807,0.024568000808358192,0.3233368017852306,0.30981119062304496,-0.013525611162185647,-0.0011660009622573853
0.05,0.02,0.02,0.005,0.03697200119495392,0.046484000980854034,0.23223207777738572,0.20516872007846831,-0.027063357698917406,-0.009511999785900116
0.05,0.0,0.05,0.005,0.01569800078868866,0.008679999969899654,0.4849733749985695,0.7657980013214052,0.28082462632283567,0.007018000818789005
0.05,0.001,0.05,0.005,0.016834000125527382,0.00992599967867136,0.448962196020782,0.7116542139135301,0.2626920178927481,0.006908000446856022
0.05,0.002,0.05,0.005,0.01796800084412098,0.012045999988913536,0.418078142374754,0.6185487604871392,0.20047061811238526,0.005922000855207443
0.05,0.005,0.05,0.005,0.022091999650001526,0.017810000106692314,0.34062992585897445,0.4213771977722645,0.08074727191329006,0.004281999543309212
0.05,0.01,0.05,0.005,0.028123999014496803,0.027876000851392746,0.27541856597214937,0.27692143484056,0.0015028688684106117,0.0002479981631040573
0.05,0.02,0.05,0.005,0.04138999804854393,0.05130000039935112,0.21458540612757207,0.19613999952077865,-0.01844540660679342,-0.00991000235080719
